month,no_edit,property_stat
2013-09-30,4,P10
2014-08-31,5,P10
2014-11-30,4,P10
2015-11-30,7,P10
2016-05-31,3,P10
2014-07-31,4,P100
2016-06-30,3,P100
2014-05-31,3,P1000
2013-06-30,3,P1001
2013-08-31,3,P1001
2013-10-31,3,P1001
2014-06-30,13,P1001
2014-07-31,11,P1001
2014-08-31,4,P1001
2015-01-31,4,P1001
2015-05-31,14,P1001
2015-11-30,3,P1001
2016-05-31,3,P1001
2016-08-31,3,P1001
2014-05-31,3,P1003
2014-08-31,5,P1004
2013-06-30,3,P1005
2014-01-31,3,P1005
2014-10-31,3,P1005
2014-11-30,3,P1005
2013-02-28,3,P1006
2013-06-30,3,P1006
2013-08-31,8,P1006
2013-10-31,4,P1006
2013-11-30,3,P1006
2014-02-28,8,P1006
2014-03-31,3,P1006
2014-04-30,3,P1006
2014-06-30,9,P1006
2014-07-31,3,P1006
2014-08-31,14,P1006
2014-09-30,10,P1006
2014-10-31,3,P1006
2014-11-30,9,P1006
2015-01-31,3,P1006
2015-02-28,3,P1006
2015-04-30,12,P1006
2015-05-31,12,P1006
2015-06-30,6,P1006
2015-08-31,3,P1006
2015-10-31,3,P1006
2015-11-30,6,P1006
2016-02-29,3,P1006
2016-03-31,3,P1006
2013-04-30,11,P101
2013-06-30,6,P101
2013-07-31,6,P101
2013-08-31,3,P101
2013-09-30,3,P101
2014-03-31,3,P101
2014-06-30,6,P101
2014-07-31,3,P101
2014-08-31,3,P101
2014-09-30,28,P101
2014-10-31,9,P101
2014-11-30,20,P101
2015-01-31,4,P101
2015-05-31,6,P101
2015-08-31,3,P101
2015-10-31,3,P101
2015-11-30,11,P101
2015-12-31,3,P101
2016-01-31,3,P101
2016-02-29,3,P101
2016-03-31,4,P101
2016-04-30,5,P101
2016-06-30,5,P101
2013-06-30,3,P1014
2014-04-30,3,P1014
2014-08-31,6,P1014
2014-09-30,18,P1014
2014-10-31,6,P1014
2014-11-30,6,P1014
2015-05-31,8,P1014
2015-08-31,3,P1014
2015-09-30,6,P1014
2016-01-31,3,P1014
2016-07-31,3,P1014
2013-06-30,6,P1015
2013-07-31,9,P1015
2013-08-31,12,P1015
2013-09-30,6,P1015
2013-10-31,3,P1015
2013-11-30,3,P1015
2013-12-31,9,P1015
2014-01-31,12,P1015
2014-02-28,3,P1015
2014-05-31,4,P1015
2014-06-30,33,P1015
2014-07-31,12,P1015
2014-08-31,12,P1015
2014-09-30,12,P1015
2014-10-31,24,P1015
2014-11-30,26,P1015
2014-12-31,3,P1015
2015-01-31,3,P1015
2015-02-28,6,P1015
2015-03-31,6,P1015
2015-04-30,10,P1015
2015-05-31,9,P1015
2015-06-30,4,P1015
2015-08-31,9,P1015
2015-11-30,10,P1015
2015-12-31,3,P1015
2016-01-31,3,P1015
2016-02-29,3,P1015
2016-04-30,12,P1015
2016-05-31,3,P1015
2016-06-30,3,P1015
2013-06-30,6,P1017
2014-06-30,3,P1017
2014-11-30,6,P1017
2015-02-28,3,P1017
2015-03-31,4,P1017
2015-04-30,3,P1017
2015-11-30,6,P1017
2015-12-31,11,P1017
2014-11-30,3,P1018
2014-09-30,4,P1019
2015-11-30,3,P1019
2013-03-31,3,P102
2013-04-30,6,P102
2013-05-31,6,P102
2013-06-30,23,P102
2013-07-31,3,P102
2013-08-31,19,P102
2013-10-31,10,P102
2013-11-30,3,P102
2014-01-31,6,P102
2014-02-28,6,P102
2014-03-31,12,P102
2014-04-30,6,P102
2014-05-31,3,P102
2014-06-30,25,P102
2014-07-31,31,P102
2014-08-31,31,P102
2014-09-30,20,P102
2014-10-31,6,P102
2014-11-30,28,P102
2014-12-31,3,P102
2015-01-31,6,P102
2015-02-28,7,P102
2015-03-31,9,P102
2015-04-30,16,P102
2015-05-31,10,P102
2015-06-30,6,P102
2015-07-31,10,P102
2015-08-31,10,P102
2015-09-30,12,P102
2015-10-31,8,P102
2015-11-30,22,P102
2015-12-31,6,P102
2016-01-31,6,P102
2016-02-29,9,P102
2016-03-31,3,P102
2016-04-30,3,P102
2016-05-31,8,P102
2016-06-30,3,P102
2016-07-31,6,P102
2016-08-31,3,P102
2016-09-30,6,P102
2014-09-30,4,P1025
2016-01-31,5,P1025
2016-05-31,3,P1025
2014-10-31,3,P1029
2015-05-31,3,P1029
2015-09-30,3,P1029
2015-11-30,3,P1029
2013-05-31,3,P103
2013-06-30,17,P103
2013-08-31,6,P103
2013-09-30,3,P103
2013-10-31,3,P103
2013-11-30,3,P103
2014-01-31,7,P103
2014-02-28,3,P103
2014-03-31,5,P103
2014-04-30,3,P103
2014-05-31,3,P103
2014-06-30,3,P103
2014-07-31,17,P103
2014-08-31,10,P103
2014-09-30,8,P103
2014-10-31,11,P103
2014-11-30,25,P103
2014-12-31,3,P103
2015-01-31,3,P103
2015-04-30,8,P103
2015-05-31,25,P103
2015-06-30,9,P103
2015-07-31,6,P103
2015-08-31,5,P103
2015-10-31,9,P103
2015-11-30,27,P103
2015-12-31,3,P103
2016-02-29,9,P103
2016-04-30,6,P103
2016-06-30,3,P103
2016-08-31,3,P103
2013-10-31,3,P1030
2016-03-31,3,P1030
2013-05-31,3,P1031
2013-08-31,3,P1031
2015-05-31,3,P1031
2015-07-31,4,P1031
2015-09-30,3,P1031
2016-07-31,3,P1031
2013-03-31,3,P1036
2013-05-31,6,P1036
2013-06-30,8,P1036
2013-08-31,27,P1036
2013-09-30,3,P1036
2013-10-31,3,P1036
2013-11-30,7,P1036
2013-12-31,3,P1036
2014-01-31,3,P1036
2014-03-31,6,P1036
2014-04-30,3,P1036
2014-06-30,32,P1036
2014-08-31,35,P1036
2014-09-30,41,P1036
2014-10-31,22,P1036
2014-11-30,14,P1036
2014-12-31,9,P1036
2015-01-31,8,P1036
2015-02-28,15,P1036
2015-03-31,3,P1036
2015-04-30,15,P1036
2015-05-31,13,P1036
2015-06-30,5,P1036
2015-07-31,3,P1036
2015-08-31,10,P1036
2015-10-31,18,P1036
2015-11-30,3,P1036
2015-12-31,4,P1036
2016-01-31,3,P1036
2016-02-29,3,P1036
2016-05-31,3,P1036
2016-07-31,6,P1036
2016-09-30,8,P1036
2013-07-31,3,P1037
2014-09-30,3,P1037
2014-10-31,3,P1037
2013-06-30,3,P1038
2013-08-31,6,P1038
2014-07-31,6,P1038
2014-08-31,9,P1038
2014-09-30,16,P1038
2015-05-31,3,P1038
2015-07-31,6,P1038
2015-10-31,3,P1038
2015-12-31,3,P1038
2016-08-31,6,P1040
2014-05-31,3,P1044
2014-08-31,3,P1045
2016-02-29,3,P1045
2014-02-28,3,P1046
2013-08-31,3,P1047
2014-09-30,3,P1047
2015-02-28,3,P1047
2015-04-30,3,P1047
2015-06-30,3,P1047
2015-08-31,3,P1047
2015-11-30,3,P1047
2014-07-31,3,P1049
2013-02-28,6,P105
2013-03-31,14,P105
2013-04-30,13,P105
2013-05-31,22,P105
2013-06-30,53,P105
2013-07-31,6,P105
2013-08-31,65,P105
2013-09-30,46,P105
2013-10-31,40,P105
2013-11-30,56,P105
2013-12-31,9,P105
2014-01-31,27,P105
2014-02-28,21,P105
2014-03-31,7,P105
2014-04-30,19,P105
2014-05-31,24,P105
2014-06-30,109,P105
2014-07-31,58,P105
2014-08-31,115,P105
2014-09-30,157,P105
2014-10-31,81,P105
2014-11-30,87,P105
2014-12-31,23,P105
2015-01-31,27,P105
2015-02-28,15,P105
2015-03-31,50,P105
2015-04-30,60,P105
2015-05-31,34,P105
2015-06-30,35,P105
2015-07-31,38,P105
2015-08-31,90,P105
2015-09-30,42,P105
2015-10-31,58,P105
2015-11-30,89,P105
2015-12-31,35,P105
2016-01-31,12,P105
2016-02-29,39,P105
2016-03-31,28,P105
2016-04-30,15,P105
2016-05-31,21,P105
2016-06-30,9,P105
2016-07-31,14,P105
2016-08-31,10,P105
2016-09-30,6,P105
2013-05-31,3,P1050
2013-12-31,3,P1050
2014-04-30,3,P1050
2014-06-30,3,P1050
2014-07-31,8,P1050
2014-08-31,8,P1050
2014-09-30,3,P1050
2014-10-31,3,P1050
2015-05-31,6,P1050
2015-06-30,3,P1050
2015-07-31,3,P1050
2016-02-29,3,P1050
2013-03-31,6,P1051
2013-05-31,5,P1051
2013-06-30,5,P1051
2013-09-30,14,P1051
2013-11-30,3,P1051
2013-12-31,3,P1051
2014-01-31,3,P1051
2014-02-28,8,P1051
2014-04-30,3,P1051
2014-06-30,9,P1051
2014-07-31,7,P1051
2014-08-31,6,P1051
2014-09-30,9,P1051
2014-10-31,9,P1051
2014-11-30,12,P1051
2014-12-31,3,P1051
2015-03-31,3,P1051
2015-04-30,6,P1051
2015-05-31,6,P1051
2015-07-31,6,P1051
2015-09-30,3,P1051
2015-10-31,9,P1051
2015-11-30,6,P1051
2016-01-31,3,P1051
2016-02-29,3,P1051
2016-06-30,3,P1051
2016-09-30,3,P1051
2015-06-30,3,P1053
2015-08-31,3,P1053
2013-03-31,3,P1056
2013-09-30,3,P1056
2014-07-31,5,P1056
2015-08-31,3,P1056
2013-12-31,4,P1057
2014-11-30,3,P1057
2014-09-30,3,P1058
2013-02-28,81,P106
2013-03-31,195,P106
2013-04-30,273,P106
2013-05-31,370,P106
2013-06-30,1065,P106
2013-07-31,393,P106
2013-08-31,1014,P106
2013-09-30,738,P106
2013-10-31,681,P106
2013-11-30,429,P106
2013-12-31,250,P106
2014-01-31,402,P106
2014-02-28,269,P106
2014-03-31,245,P106
2014-04-30,341,P106
2014-05-31,371,P106
2014-06-30,2496,P106
2014-07-31,1176,P106
2014-08-31,2260,P106
2014-09-30,3523,P106
2014-10-31,2333,P106
2014-11-30,2108,P106
2014-12-31,431,P106
2015-01-31,529,P106
2015-02-28,521,P106
2015-03-31,490,P106
2015-04-30,1218,P106
2015-05-31,1226,P106
2015-06-30,672,P106
2015-07-31,921,P106
2015-08-31,1246,P106
2015-09-30,698,P106
2015-10-31,1023,P106
2015-11-30,1369,P106
2015-12-31,600,P106
2016-01-31,589,P106
2016-02-29,584,P106
2016-03-31,412,P106
2016-04-30,423,P106
2016-05-31,274,P106
2016-06-30,244,P106
2016-07-31,258,P106
2016-08-31,310,P106
2016-09-30,318,P106
2016-10-31,9,P106
2015-05-31,3,P1060
2013-06-30,3,P1064
2014-01-31,3,P1064
2014-08-31,6,P1064
2015-05-31,3,P1064
2015-06-30,3,P1064
2015-09-30,3,P1064
2013-09-30,4,P1066
2014-06-30,3,P1066
2014-08-31,3,P1066
2014-09-30,7,P1066
2014-10-31,10,P1066
2014-11-30,10,P1066
2014-12-31,5,P1066
2015-04-30,3,P1066
2015-06-30,3,P1066
2015-10-31,3,P1066
2016-03-31,3,P1066
2015-11-30,3,P1067
2013-02-28,9,P107
2013-03-31,31,P107
2013-04-30,27,P107
2013-05-31,13,P107
2013-06-30,106,P107
2013-07-31,17,P107
2013-08-31,74,P107
2013-09-30,59,P107
2013-10-31,45,P107
2013-11-30,54,P107
2013-12-31,10,P107
2014-01-31,36,P107
2014-02-28,10,P107
2014-03-31,19,P107
2014-04-30,16,P107
2014-05-31,22,P107
2014-06-30,207,P107
2014-07-31,77,P107
2014-08-31,173,P107
2014-09-30,232,P107
2014-10-31,145,P107
2014-11-30,175,P107
2014-12-31,63,P107
2015-01-31,25,P107
2015-02-28,33,P107
2015-03-31,21,P107
2015-04-30,103,P107
2015-05-31,109,P107
2015-06-30,63,P107
2015-07-31,61,P107
2015-08-31,86,P107
2015-09-30,65,P107
2015-10-31,84,P107
2015-11-30,114,P107
2015-12-31,38,P107
2016-01-31,45,P107
2016-02-29,48,P107
2016-03-31,33,P107
2016-04-30,41,P107
2016-05-31,25,P107
2016-06-30,18,P107
2016-07-31,15,P107
2016-08-31,17,P107
2016-09-30,50,P107
2016-10-31,4,P107
2013-08-31,3,P1070
2013-10-31,3,P1070
2014-06-30,3,P1070
2014-10-31,6,P1070
2015-06-30,3,P1070
2015-07-31,3,P1070
2015-09-30,3,P1070
2015-11-30,4,P1070
2016-01-31,7,P1070
2016-05-31,3,P1070
2013-03-31,5,P1071
2014-09-30,3,P1071
2014-11-30,3,P1071
2015-09-30,3,P1071
2016-04-30,5,P1071
2016-08-31,3,P1071
2014-06-30,5,P1072
2013-07-31,3,P1074
2014-06-30,3,P1074
2014-08-31,3,P1074
2014-09-30,3,P1074
2015-04-30,4,P1074
2016-08-31,3,P1074
2016-09-30,6,P1074
2013-04-30,3,P1076
2014-05-31,3,P1076
2015-11-30,6,P1076
2016-01-31,3,P1076
2013-02-28,18,P1077
2013-03-31,30,P1077
2013-04-30,45,P1077
2013-05-31,93,P1077
2013-06-30,174,P1077
2013-07-31,51,P1077
2013-08-31,217,P1077
2013-09-30,147,P1077
2013-10-31,127,P1077
2013-11-30,156,P1077
2013-12-31,39,P1077
2014-01-31,87,P1077
2014-02-28,51,P1077
2014-03-31,39,P1077
2014-04-30,72,P1077
2014-05-31,69,P1077
2014-06-30,504,P1077
2014-07-31,231,P1077
2014-08-31,498,P1077
2014-09-30,699,P1077
2014-10-31,471,P1077
2014-11-30,354,P1077
2014-12-31,102,P1077
2015-01-31,90,P1077
2015-02-28,111,P1077
2015-03-31,93,P1077
2015-04-30,249,P1077
2015-05-31,207,P1077
2015-06-30,147,P1077
2015-07-31,117,P1077
2015-08-31,270,P1077
2015-09-30,138,P1077
2015-10-31,246,P1077
2015-11-30,252,P1077
2015-12-31,93,P1077
2016-01-31,141,P1077
2016-02-29,102,P1077
2016-03-31,69,P1077
2016-04-30,78,P1077
2016-05-31,75,P1077
2016-06-30,45,P1077
2016-07-31,73,P1077
2016-08-31,45,P1077
2016-09-30,60,P1077
2016-10-31,3,P1077
2013-02-28,3,P108
2013-06-30,6,P108
2013-10-31,6,P108
2013-11-30,5,P108
2013-12-31,3,P108
2014-01-31,3,P108
2014-05-31,3,P108
2014-06-30,14,P108
2014-07-31,17,P108
2014-08-31,13,P108
2014-09-30,24,P108
2014-10-31,3,P108
2014-11-30,17,P108
2015-04-30,4,P108
2015-06-30,3,P108
2015-08-31,9,P108
2015-09-30,3,P108
2015-10-31,3,P108
2015-11-30,9,P108
2015-12-31,8,P108
2016-02-29,3,P108
2016-04-30,3,P108
2016-07-31,4,P108
2016-08-31,3,P108
2013-04-30,6,P1080
2013-05-31,3,P1080
2013-06-30,29,P1080
2013-07-31,3,P1080
2013-08-31,24,P1080
2013-09-30,3,P1080
2013-10-31,19,P1080
2013-11-30,9,P1080
2013-12-31,3,P1080
2014-01-31,3,P1080
2014-02-28,9,P1080
2014-03-31,6,P1080
2014-04-30,6,P1080
2014-05-31,15,P1080
2014-06-30,59,P1080
2014-07-31,27,P1080
2014-08-31,57,P1080
2014-09-30,72,P1080
2014-10-31,36,P1080
2014-11-30,54,P1080
2014-12-31,3,P1080
2015-01-31,18,P1080
2015-02-28,9,P1080
2015-03-31,9,P1080
2015-04-30,27,P1080
2015-05-31,30,P1080
2015-06-30,23,P1080
2015-07-31,9,P1080
2015-08-31,24,P1080
2015-09-30,6,P1080
2015-10-31,21,P1080
2015-11-30,9,P1080
2015-12-31,3,P1080
2016-01-31,15,P1080
2016-02-29,19,P1080
2016-03-31,3,P1080
2016-05-31,3,P1080
2016-06-30,15,P1080
2016-07-31,9,P1080
2016-08-31,6,P1080
2016-09-30,9,P1080
2016-10-31,3,P1080
2013-08-31,3,P1081
2014-08-31,3,P1081
2014-11-30,4,P1081
2015-08-31,5,P1081
2015-10-31,3,P1081
2013-02-28,61,P1082
2013-03-31,166,P1082
2013-04-30,178,P1082
2013-05-31,146,P1082
2013-06-30,807,P1082
2013-07-31,236,P1082
2013-08-31,638,P1082
2013-09-30,544,P1082
2013-10-31,482,P1082
2013-11-30,444,P1082
2013-12-31,160,P1082
2014-01-31,256,P1082
2014-02-28,318,P1082
2014-03-31,173,P1082
2014-04-30,172,P1082
2014-05-31,312,P1082
2014-06-30,1955,P1082
2014-07-31,965,P1082
2014-08-31,1580,P1082
2014-09-30,2686,P1082
2014-10-31,1663,P1082
2014-11-30,1615,P1082
2014-12-31,369,P1082
2015-01-31,361,P1082
2015-02-28,301,P1082
2015-03-31,318,P1082
2015-04-30,986,P1082
2015-05-31,968,P1082
2015-06-30,434,P1082
2015-07-31,689,P1082
2015-08-31,1036,P1082
2015-09-30,520,P1082
2015-10-31,742,P1082
2015-11-30,1094,P1082
2015-12-31,358,P1082
2016-01-31,502,P1082
2016-02-29,339,P1082
2016-03-31,339,P1082
2016-04-30,229,P1082
2016-05-31,220,P1082
2016-06-30,235,P1082
2016-07-31,132,P1082
2016-08-31,274,P1082
2016-09-30,278,P1082
2016-10-31,9,P1082
2013-02-28,4,P1083
2013-03-31,7,P1083
2013-04-30,6,P1083
2013-05-31,10,P1083
2013-06-30,28,P1083
2013-07-31,7,P1083
2013-08-31,23,P1083
2013-09-30,16,P1083
2013-10-31,17,P1083
2013-11-30,6,P1083
2013-12-31,9,P1083
2014-01-31,3,P1083
2014-02-28,3,P1083
2014-03-31,3,P1083
2014-04-30,3,P1083
2014-05-31,3,P1083
2014-06-30,28,P1083
2014-07-31,19,P1083
2014-08-31,53,P1083
2014-09-30,62,P1083
2014-10-31,54,P1083
2014-11-30,18,P1083
2014-12-31,4,P1083
2015-01-31,29,P1083
2015-02-28,18,P1083
2015-03-31,15,P1083
2015-04-30,25,P1083
2015-05-31,24,P1083
2015-06-30,20,P1083
2015-07-31,26,P1083
2015-08-31,22,P1083
2015-09-30,20,P1083
2015-10-31,20,P1083
2015-11-30,26,P1083
2015-12-31,16,P1083
2016-01-31,9,P1083
2016-03-31,16,P1083
2016-04-30,3,P1083
2016-05-31,11,P1083
2016-06-30,3,P1083
2016-07-31,3,P1083
2016-08-31,6,P1083
2016-09-30,12,P1083
2016-10-31,3,P1083
2014-09-30,5,P1085
2013-04-30,4,P1086
2013-09-30,4,P1086
2014-08-31,5,P1086
2014-11-30,8,P1086
2015-02-28,3,P1086
2015-04-30,3,P1086
2015-06-30,3,P1086
2015-08-31,11,P1086
2015-09-30,6,P1086
2015-10-31,4,P1086
2015-11-30,8,P1086
2015-12-31,3,P1086
2013-10-31,7,P1087
2014-01-31,3,P1087
2014-02-28,3,P1087
2014-04-30,5,P1087
2014-06-30,8,P1087
2014-08-31,9,P1087
2014-09-30,8,P1087
2014-10-31,9,P1087
2015-06-30,4,P1087
2015-07-31,4,P1087
2015-08-31,7,P1087
2015-11-30,3,P1087
2016-01-31,3,P1087
2013-12-31,4,P1088
2015-01-31,3,P1088
2013-04-30,6,P109
2013-06-30,16,P109
2013-09-30,9,P109
2014-01-31,15,P109
2014-02-28,3,P109
2014-04-30,3,P109
2014-06-30,21,P109
2014-07-31,5,P109
2014-08-31,18,P109
2014-09-30,20,P109
2014-10-31,16,P109
2014-11-30,9,P109
2015-01-31,3,P109
2015-02-28,6,P109
2015-04-30,3,P109
2015-05-31,12,P109
2015-06-30,7,P109
2015-07-31,7,P109
2015-08-31,12,P109
2015-09-30,7,P109
2015-10-31,6,P109
2015-11-30,6,P109
2015-12-31,3,P109
2016-01-31,7,P109
2016-03-31,6,P109
2016-04-30,3,P109
2016-06-30,8,P109
2013-09-30,6,P1090
2014-06-30,13,P1090
2014-09-30,9,P1090
2014-11-30,3,P1090
2015-02-28,3,P1090
2015-04-30,3,P1090
2015-08-31,3,P1090
2015-11-30,3,P1090
2015-12-31,3,P1090
2016-05-31,3,P1090
2016-06-30,10,P1090
2013-06-30,3,P1092
2014-02-28,3,P1092
2014-06-30,15,P1092
2014-07-31,7,P1092
2014-08-31,18,P1092
2014-09-30,28,P1092
2014-10-31,13,P1092
2014-12-31,4,P1092
2015-01-31,3,P1092
2015-02-28,6,P1092
2015-03-31,3,P1092
2015-04-30,6,P1092
2015-05-31,3,P1092
2015-06-30,4,P1092
2015-07-31,7,P1092
2015-08-31,4,P1092
2015-10-31,12,P1092
2015-11-30,8,P1092
2015-12-31,3,P1092
2016-01-31,4,P1092
2016-02-29,3,P1092
2016-03-31,5,P1092
2016-04-30,7,P1092
2016-06-30,5,P1092
2016-07-31,6,P1092
2013-03-31,4,P1093
2015-11-30,3,P1093
2015-12-31,3,P1093
2013-06-30,4,P1096
2014-06-30,4,P1096
2014-07-31,5,P1096
2014-09-30,6,P1096
2015-04-30,3,P1096
2015-06-30,3,P1096
2015-10-31,4,P1096
2016-01-31,4,P1096
2016-02-29,4,P1096
2014-06-30,3,P1097
2013-03-31,4,P1098
2013-04-30,4,P1098
2013-06-30,14,P1098
2013-07-31,4,P1098
2013-08-31,12,P1098
2014-03-31,4,P1098
2014-05-31,6,P1098
2014-06-30,11,P1098
2014-07-31,21,P1098
2014-08-31,15,P1098
2014-09-30,38,P1098
2014-10-31,19,P1098
2014-11-30,19,P1098
2014-12-31,3,P1098
2015-03-31,6,P1098
2015-04-30,9,P1098
2015-05-31,15,P1098
2015-06-30,6,P1098
2015-07-31,3,P1098
2015-08-31,10,P1098
2015-09-30,6,P1098
2015-10-31,9,P1098
2015-11-30,8,P1098
2015-12-31,18,P1098
2016-01-31,7,P1098
2016-03-31,4,P1098
2016-04-30,7,P1098
2016-07-31,4,P1098
2016-09-30,3,P1098
2013-10-31,5,P11
2014-08-31,3,P11
2015-03-31,4,P11
2015-07-31,6,P11
2013-11-30,3,P110
2014-07-31,4,P1100
2014-08-31,4,P1100
2014-10-31,3,P1100
2013-03-31,3,P1101
2013-05-31,3,P1101
2013-06-30,4,P1101
2013-07-31,3,P1101
2013-08-31,4,P1101
2014-07-31,4,P1101
2014-08-31,7,P1101
2014-09-30,7,P1101
2014-10-31,3,P1101
2014-11-30,3,P1101
2015-02-28,4,P1101
2015-04-30,4,P1101
2015-05-31,13,P1101
2015-07-31,3,P1101
2015-08-31,4,P1101
2015-12-31,3,P1101
2016-07-31,4,P1101
2013-03-31,3,P1103
2013-06-30,4,P1103
2013-10-31,8,P1103
2014-05-31,3,P1103
2014-06-30,4,P1103
2014-08-31,9,P1103
2014-09-30,19,P1103
2014-10-31,10,P1103
2015-05-31,4,P1103
2015-06-30,6,P1103
2015-07-31,8,P1103
2015-08-31,6,P1103
2015-09-30,4,P1103
2015-10-31,3,P1103
2015-11-30,3,P1103
2016-01-31,10,P1103
2016-03-31,3,P1103
2016-05-31,3,P1103
2016-07-31,3,P1103
2013-04-30,9,P1104
2013-05-31,3,P1104
2013-06-30,4,P1104
2013-08-31,13,P1104
2013-09-30,3,P1104
2013-10-31,11,P1104
2013-11-30,4,P1104
2014-01-31,3,P1104
2014-02-28,3,P1104
2014-05-31,6,P1104
2014-06-30,21,P1104
2014-07-31,3,P1104
2014-08-31,14,P1104
2014-09-30,19,P1104
2014-10-31,10,P1104
2014-11-30,11,P1104
2014-12-31,6,P1104
2015-02-28,3,P1104
2015-03-31,4,P1104
2015-04-30,12,P1104
2015-05-31,4,P1104
2015-07-31,7,P1104
2015-08-31,3,P1104
2015-09-30,3,P1104
2015-10-31,3,P1104
2016-01-31,4,P1104
2016-02-29,3,P1104
2016-03-31,6,P1104
2016-04-30,3,P1104
2016-07-31,7,P1104
2014-06-30,4,P1106
2014-07-31,3,P1106
2014-08-31,3,P1106
2014-10-31,7,P1106
2015-05-31,4,P1106
2016-06-30,3,P1106
2014-11-30,3,P1108
2015-05-31,3,P1109
2014-10-31,4,P111
2014-11-30,3,P111
2015-11-30,3,P111
2015-12-31,3,P111
2013-02-28,3,P1110
2013-04-30,3,P1110
2013-07-31,3,P1110
2013-09-30,4,P1110
2013-12-31,3,P1110
2014-05-31,4,P1110
2014-06-30,3,P1110
2014-07-31,7,P1110
2014-08-31,3,P1110
2014-09-30,6,P1110
2014-10-31,7,P1110
2014-11-30,3,P1110
2015-01-31,3,P1110
2015-05-31,3,P1110
2015-08-31,3,P1110
2016-02-29,5,P1110
2016-03-31,4,P1110
2016-06-30,7,P1110
2013-10-31,4,P1112
2014-04-30,4,P1112
2014-06-30,3,P1112
2014-08-31,6,P1112
2014-11-30,3,P1112
2015-10-31,3,P1112
2015-11-30,3,P1112
2016-08-31,3,P1112
2013-04-30,3,P1113
2013-05-31,4,P1113
2013-06-30,6,P1113
2013-08-31,9,P1113
2013-09-30,6,P1113
2013-11-30,10,P1113
2013-12-31,6,P1113
2014-01-31,4,P1113
2014-04-30,3,P1113
2014-05-31,11,P1113
2014-06-30,12,P1113
2014-07-31,16,P1113
2014-08-31,11,P1113
2014-09-30,57,P1113
2014-10-31,41,P1113
2014-11-30,30,P1113
2015-01-31,6,P1113
2015-02-28,6,P1113
2015-03-31,3,P1113
2015-04-30,8,P1113
2015-05-31,18,P1113
2015-07-31,10,P1113
2015-08-31,14,P1113
2015-10-31,12,P1113
2015-11-30,34,P1113
2015-12-31,6,P1113
2016-01-31,19,P1113
2016-02-29,12,P1113
2016-03-31,11,P1113
2016-04-30,9,P1113
2016-05-31,5,P1113
2016-07-31,3,P1113
2016-08-31,5,P1113
2016-09-30,14,P1113
2013-08-31,12,P1114
2014-06-30,3,P1114
2014-08-31,7,P1114
2014-09-30,3,P1114
2014-10-31,7,P1114
2015-04-30,3,P1114
2015-05-31,3,P1114
2015-06-30,5,P1114
2015-08-31,6,P1114
2015-10-31,7,P1114
2016-01-31,3,P1114
2016-02-29,3,P1114
2016-05-31,6,P1114
2016-08-31,3,P1114
2013-06-30,3,P1116
2013-07-31,3,P1116
2013-08-31,3,P1116
2013-09-30,6,P1116
2014-06-30,10,P1116
2014-08-31,22,P1116
2014-09-30,16,P1116
2014-10-31,3,P1116
2014-11-30,3,P1116
2015-01-31,6,P1116
2015-05-31,3,P1116
2015-06-30,4,P1116
2015-08-31,13,P1116
2016-01-31,5,P1116
2016-02-29,3,P1116
2016-03-31,5,P1116
2013-06-30,7,P1118
2013-08-31,4,P1118
2013-09-30,5,P1118
2013-10-31,3,P1118
2013-11-30,3,P1118
2014-02-28,3,P1118
2014-04-30,4,P1118
2014-06-30,11,P1118
2014-07-31,15,P1118
2014-08-31,3,P1118
2014-09-30,37,P1118
2014-10-31,13,P1118
2014-11-30,16,P1118
2015-01-31,3,P1118
2015-02-28,6,P1118
2015-03-31,8,P1118
2015-04-30,3,P1118
2015-05-31,4,P1118
2015-08-31,7,P1118
2015-10-31,10,P1118
2015-11-30,3,P1118
2015-12-31,13,P1118
2016-01-31,6,P1118
2013-06-30,7,P1119
2013-08-31,7,P1119
2013-09-30,10,P1119
2013-10-31,11,P1119
2013-11-30,3,P1119
2014-04-30,4,P1119
2014-05-31,3,P1119
2014-06-30,10,P1119
2014-07-31,9,P1119
2014-08-31,6,P1119
2014-09-30,16,P1119
2014-10-31,15,P1119
2014-11-30,3,P1119
2014-12-31,3,P1119
2015-03-31,4,P1119
2015-05-31,9,P1119
2015-06-30,4,P1119
2015-07-31,8,P1119
2015-08-31,4,P1119
2015-10-31,7,P1119
2015-12-31,3,P1119
2016-01-31,6,P1119
2016-09-30,11,P1119
2013-04-30,6,P112
2013-06-30,16,P112
2013-08-31,6,P112
2013-09-30,3,P112
2013-10-31,7,P112
2013-11-30,3,P112
2014-01-31,3,P112
2014-04-30,7,P112
2014-06-30,25,P112
2014-07-31,3,P112
2014-08-31,3,P112
2014-09-30,16,P112
2014-10-31,12,P112
2014-11-30,24,P112
2014-12-31,7,P112
2015-01-31,3,P112
2015-04-30,24,P112
2015-05-31,6,P112
2015-06-30,6,P112
2015-08-31,29,P112
2015-09-30,6,P112
2015-10-31,5,P112
2015-11-30,8,P112
2015-12-31,6,P112
2016-01-31,3,P112
2016-02-29,11,P112
2016-03-31,5,P112
2016-06-30,3,P112
2016-08-31,5,P112
2016-09-30,8,P112
2013-03-31,18,P1120
2013-04-30,3,P1120
2013-05-31,11,P1120
2013-06-30,49,P1120
2013-07-31,14,P1120
2013-08-31,4,P1120
2013-09-30,8,P1120
2014-01-31,3,P1120
2014-04-30,4,P1120
2014-05-31,4,P1120
