"stat_property","month_edit","no_item","no_user"
"P1","2013-03",1,1
"P10","2013-02",50,20
"P10","2013-03",20,11
"P10","2013-04",6,5
"P10","2013-05",11,2
"P10","2013-06",11,3
"P10","2013-07",11,2
"P10","2013-08",4,4
"P10","2013-09",5,3
"P10","2013-12",1,1
"P10","2014-02",29,4
"P10","2014-03",22,6
"P10","2014-04",7,5
"P10","2014-05",13,4
"P10","2014-06",5,5
"P10","2014-07",6,4
"P10","2014-08",4,2
"P10","2014-09",5,3
"P10","2014-10",53,3
"P10","2014-11",17,12
"P10","2014-12",4,2
"P10","2015-01",17,15
"P10","2015-02",10,6
"P10","2015-03",11,10
"P10","2015-04",14,5
"P10","2015-05",10,7
"P10","2015-06",4,4
"P10","2015-07",15,9
"P10","2015-08",26,8
"P10","2015-09",177,7
"P10","2015-10",55,10
"P10","2015-11",27,8
"P10","2015-12",30,11
"P10","2016-01",9,8
"P10","2016-02",19,9
"P10","2016-03",11,9
"P10","2016-04",19,8
"P10","2016-05",28,15
"P10","2016-06",18,6
"P10","2016-07",17,8
"P10","2016-08",14,12
"P10","2016-09",14,6
"P100","2013-02",28,14
"P100","2013-03",6,6
"P100","2013-04",11,4
"P100","2013-05",1,2
"P100","2013-06",6,5
"P100","2013-07",1,1
"P100","2013-08",2,2
"P1000","2013-11",1,1
"P1000","2013-12",1,1
"P1000","2014-08",1,1
"P1000","2015-05",35,1
"P1000","2015-06",1,1
"P1000","2015-10",2,2
"P1000","2016-05",22,3
"P1000","2016-07",1,1
"P1000","2016-08",2,1
"P1000","2016-09",1,1
"P1001","2013-10",98,1
"P1001","2013-11",368,7
"P1001","2013-12",127,10
"P1001","2014-01",122,10
"P1001","2014-02",64,12
"P1001","2014-03",2913,11
"P1001","2014-04",41,11
"P1001","2014-05",2,2
"P1001","2014-06",18,7
"P1001","2014-07",15,6
"P1001","2014-08",15,10
"P1001","2014-09",48,6
"P1001","2014-10",29,9
"P1001","2014-11",54,13
"P1001","2014-12",21,9
"P1001","2015-01",65,12
"P1001","2015-02",20,13
"P1001","2015-03",70,17
"P1001","2015-04",59,12
"P1001","2015-05",167,22
"P1001","2015-06",183,25
"P1001","2015-07",48,15
"P1001","2015-08",304,21
"P1001","2015-09",2051,30
"P1001","2015-10",337,32
"P1001","2015-11",546,29
"P1001","2015-12",355,25
"P1001","2016-01",308,37
"P1001","2016-02",123,32
"P1001","2016-03",228,36
"P1001","2016-04",285,42
"P1001","2016-05",467,45
"P1001","2016-06",523,37
"P1001","2016-07",351,47
"P1001","2016-08",12571,42
"P1001","2016-09",2571,52
"P1001","2016-10",16,4
"P1002","2013-10",20,2
"P1002","2013-11",178,1
"P1002","2013-12",26,1
"P1002","2014-01",8,1
"P1002","2014-02",14,1
"P1002","2014-03",16,1
"P1002","2014-04",8,1
"P1002","2014-06",1,1
"P1002","2014-09",58,1
"P1002","2014-10",1,1
"P1002","2014-11",1,1
"P1002","2015-02",12,2
"P1002","2015-04",10,2
"P1002","2015-05",1,1
"P1002","2015-06",3,3
"P1002","2015-07",15,1
"P1002","2015-08",11,2
"P1002","2015-09",9,2
"P1002","2015-10",6,4
"P1002","2015-11",1,1
"P1002","2015-12",1,1
"P1002","2016-01",3,1
"P1002","2016-02",1,1
"P1002","2016-03",21,3
"P1002","2016-04",2,2
"P1002","2016-05",2,2
"P1002","2016-06",5,2
"P1002","2016-07",1,1
"P1002","2016-08",4,3
"P1002","2016-09",14,4
"P1003","2013-10",64,5
"P1003","2013-11",10,1
"P1003","2014-02",1,1
"P1003","2014-04",1,1
"P1003","2015-11",79,14
"P1003","2015-12",80,11
"P1003","2016-01",47,14
"P1003","2016-02",23,10
"P1003","2016-03",34,11
"P1003","2016-04",75,14
"P1003","2016-05",44,9
"P1003","2016-06",21,9
"P1003","2016-07",14,9
"P1003","2016-08",309,14
"P1003","2016-09",51,13
"P1003","2016-10",2,1
"P1004","2013-10",7,2
"P1004","2013-11",6,4
"P1004","2014-03",4,4
"P1004","2014-05",3,1
"P1004","2014-06",1430,6
"P1004","2014-07",78,2
"P1004","2014-08",102,3
"P1004","2014-09",64,2
"P1004","2014-10",1,1
"P1004","2014-11",2,1
"P1004","2014-12",4,2
"P1004","2015-01",501,3
"P1004","2015-02",54,3
"P1004","2015-03",105,4
"P1004","2015-04",73,2
"P1004","2015-05",147,3
"P1004","2015-06",120,4
"P1004","2015-07",80,2
"P1004","2015-08",125,3
"P1004","2015-09",26,5
"P1004","2015-10",4,4
"P1004","2015-11",342,2
"P1004","2015-12",1,1
"P1004","2016-01",1,1
"P1004","2016-02",1,1
"P1004","2016-03",544,3
"P1004","2016-04",121,3
"P1004","2016-05",54,1
"P1004","2016-06",1,1
"P1004","2016-07",3,2
"P1005","2013-10",70,4
"P1005","2013-11",251,11
"P1005","2013-12",133,10
"P1005","2014-01",188,17
"P1005","2014-02",103,16
"P1005","2014-03",141,15
"P1005","2014-04",176,19
"P1005","2014-05",225,18
"P1005","2014-06",165,15
"P1005","2014-07",450,17
"P1005","2014-08",324,16
"P1005","2014-09",362,17
"P1005","2014-10",245,17
"P1005","2014-11",168,21
"P1005","2014-12",142,20
"P1005","2015-01",194,26
"P1005","2015-02",99,24
"P1005","2015-03",1075,28
"P1005","2015-04",127,20
"P1005","2015-05",303,28
"P1005","2015-06",331,24
"P1005","2015-07",538,29
"P1005","2015-08",447,33
"P1005","2015-09",284,33
"P1005","2015-10",295,36
"P1005","2015-11",262,33
"P1005","2015-12",226,29
"P1005","2016-01",159,36
"P1005","2016-02",124,28
"P1005","2016-03",203,27
"P1005","2016-04",343,39
"P1005","2016-05",252,27
"P1005","2016-06",131,37
"P1005","2016-07",103,28
"P1005","2016-08",374,39
"P1005","2016-09",180,38
"P1005","2016-10",6,5
"P1006","2013-10",243,8
"P1006","2013-11",885,17
"P1006","2013-12",546,22
"P1006","2014-01",439,25
"P1006","2014-02",352,22
"P1006","2014-03",496,28
"P1006","2014-04",694,31
"P1006","2014-05",638,31
"P1006","2014-06",455,29
"P1006","2014-07",861,24
"P1006","2014-08",793,29
"P1006","2014-09",1008,35
"P1006","2014-10",771,31
"P1006","2014-11",808,41
"P1006","2014-12",111782,47
"P1006","2015-01",546,66
"P1006","2015-02",492,76
"P1006","2015-03",6237,67
"P1006","2015-04",456,68
"P1006","2015-05",1219,75
"P1006","2015-06",1768,73
"P1006","2015-07",1918,76
"P1006","2015-08",1164,76
"P1006","2015-09",1235,72
"P1006","2015-10",1085,88
"P1006","2015-11",925,87
"P1006","2015-12",821,71
"P1006","2016-01",663,75
"P1006","2016-02",614,77
"P1006","2016-03",723,79
"P1006","2016-04",1022,99
"P1006","2016-05",623,83
"P1006","2016-06",549,89
"P1006","2016-07",600,96
"P1006","2016-08",1073,92
"P1006","2016-09",787,96
"P1006","2016-10",27,17
"P1007","2013-10",1,1
"P1007","2013-11",2,2
"P1007","2014-12",3,1
"P1007","2015-04",1,1
"P1007","2015-08",1,1
"P1007","2015-10",2,1
"P1007","2016-05",2,1
"P1007","2016-07",6,1
"P1009","2014-10",1,1
"P101","2013-02",86,35
"P101","2013-03",324,66
"P101","2013-04",1940,48
"P101","2013-05",119,43
"P101","2013-06",186,46
"P101","2013-07",77,36
"P101","2013-08",144,30
"P101","2013-09",346,37
"P101","2013-10",171,38
"P101","2013-11",89,34
"P101","2013-12",1546,31
"P101","2014-01",106,38
"P101","2014-02",10262,40
"P101","2014-03",1463,45
"P101","2014-04",130,46
"P101","2014-05",263,54
"P101","2014-06",129,29
"P101","2014-07",252,40
"P101","2014-08",132,39
"P101","2014-09",94,47
"P101","2014-10",129,50
"P101","2014-11",894,50
"P101","2014-12",465,50
"P101","2015-01",137,52
"P101","2015-02",130,50
"P101","2015-03",128,42
"P101","2015-04",112,48
"P101","2015-05",109,49
"P101","2015-06",162,50
"P101","2015-07",385,63
"P101","2015-08",231,78
"P101","2015-09",442,72
"P101","2015-10",226,83
"P101","2015-11",401,72
"P101","2015-12",161,67
"P101","2016-01",344,79
"P101","2016-02",330,75
"P101","2016-03",262,86
"P101","2016-04",197,65
"P101","2016-05",268,67
"P101","2016-06",268,77
"P101","2016-07",188,62
"P101","2016-08",151,67
"P101","2016-09",260,86
"P101","2016-10",74,6
"P1010","2014-09",8,2
"P1010","2016-02",1,1
"P1011","2015-10",1,1
"P1012","2013-11",4,1
"P1012","2013-12",1,1
"P1012","2014-01",2,1
"P1012","2014-02",1,1
"P1012","2014-03",2,1
"P1012","2014-04",2,2
"P1012","2014-09",1,1
"P1012","2014-10",3,1
"P1012","2016-06",2,2
"P1012","2016-07",2,1
"P1013","2014-02",2,1
"P1013","2014-03",2,1
"P1013","2014-04",2,1
"P1013","2015-06",2,1
"P1013","2016-01",1,1
"P1013","2016-04",2,1
"P1013","2016-09",1,1
"P1014","2013-11",24,2
"P1014","2013-12",59,2
"P1014","2014-01",38,1
"P1014","2014-02",9,2
"P1014","2014-03",12,1
"P1014","2014-04",114,3
"P1014","2014-05",1,1
"P1014","2014-06",6,2
"P1014","2014-07",73,3
"P1014","2014-08",11,2
"P1014","2014-09",9,3
"P1014","2014-10",1,2
"P1014","2014-11",2,2
"P1014","2014-12",1,1
"P1014","2015-01",5,2
"P1014","2015-02",1,1
"P1014","2015-03",8,3
"P1014","2015-04",991,17
"P1014","2015-05",601,10
"P1014","2015-06",245,15
"P1014","2015-07",418,13
"P1014","2015-08",1523,17
"P1014","2015-09",384,18
"P1014","2015-10",273,22
"P1014","2015-11",177,20
"P1014","2015-12",158,18
"P1014","2016-01",215,17
"P1014","2016-02",260,20
"P1014","2016-03",706,17
"P1014","2016-04",1264,22
"P1014","2016-05",95,15
"P1014","2016-06",72,14
"P1014","2016-07",193,16
"P1014","2016-08",109,14
"P1014","2016-09",116,17
"P1014","2016-10",6,2
"P1015","2013-11",20,5
"P1015","2013-12",19,5
"P1015","2014-01",13,6
"P1015","2014-02",14,7
"P1015","2014-03",15,9
"P1015","2014-04",40,7
"P1015","2014-05",3202,12
"P1015","2014-06",23,18
"P1015","2014-07",57,9
"P1015","2014-08",32,16
"P1015","2014-09",15,12
"P1015","2014-10",21,9
"P1015","2014-11",13,11
"P1015","2014-12",14,8
"P1015","2015-01",12,7
"P1015","2015-02",11,5
"P1015","2015-03",2233,14
"P1015","2015-04",187,11
"P1015","2015-05",183,10
"P1015","2015-06",71,16
"P1015","2015-07",53,10
"P1015","2015-08",44,13
"P1015","2015-09",47,11
"P1015","2015-10",54,18
"P1015","2015-11",35,13
"P1015","2015-12",30,11
"P1015","2016-01",18,9
"P1015","2016-02",20,11
"P1015","2016-03",30,14
"P1015","2016-04",49,16
"P1015","2016-05",6493,14
"P1015","2016-06",71,21
"P1015","2016-07",32,15
"P1015","2016-08",104,21
"P1015","2016-09",36,14
"P1016","2014-06",1,1
"P1017","2013-11",175,7
"P1017","2013-12",229,13
"P1017","2014-01",378,19
"P1017","2014-02",252,20
"P1017","2014-03",281,24
"P1017","2014-04",311,18
"P1017","2014-05",397,20
"P1017","2014-06",265,14
"P1017","2014-07",518,15
"P1017","2014-08",426,22
"P1017","2014-09",490,20
"P1017","2014-10",362,22
"P1017","2014-11",334,19
"P1017","2014-12",236,23
"P1017","2015-01",352,28
"P1017","2015-02",202,29
"P1017","2015-03",2408,33
"P1017","2015-04",222,38
"P1017","2015-05",919,33
"P1017","2015-06",1308,35
"P1017","2015-07",986,32
"P1017","2015-08",469,41
"P1017","2015-09",383,38
"P1017","2015-10",450,50
"P1017","2015-11",463,38
"P1017","2015-12",496,31
"P1017","2016-01",365,37
"P1017","2016-02",366,32
"P1017","2016-03",487,43
"P1017","2016-04",558,53
"P1017","2016-05",467,39
"P1017","2016-06",261,45
"P1017","2016-07",179,45
"P1017","2016-08",583,52
"P1017","2016-09",372,51
"P1017","2016-10",14,11
"P1018","2013-11",5,4
"P1018","2013-12",1,1
"P1018","2014-04",1,1
"P1018","2014-07",4,1
"P1018","2014-09",41,2
"P1018","2014-10",30,6
"P1018","2014-11",1,1
"P1018","2014-12",1,1
"P1018","2015-01",1,1
"P1018","2015-02",2,2
"P1018","2015-03",10,3
"P1018","2015-06",1,1
"P1018","2015-08",3,2
"P1018","2015-11",1,1
"P1018","2016-01",3,3
"P1018","2016-03",1,1
"P1018","2016-05",6,1
"P1018","2016-06",2,2
"P1018","2016-08",3,3
"P1018","2016-09",1,2
"P1019","2013-11",19,4
"P1019","2013-12",1,1
"P1019","2014-03",2,1
"P1019","2014-04",1,1
"P1019","2014-12",2,1
"P1019","2015-01",4,1
"P1019","2015-02",5,1
"P1019","2015-03",1,1
"P1019","2015-05",2,2
"P1019","2015-06",2,2
"P1019","2015-07",1,1
"P1019","2015-09",1,1
"P1019","2015-10",2,1
"P1019","2015-11",1,1
"P1019","2015-12",3,1
"P1019","2016-01",7,4
"P1019","2016-02",3,2
"P1019","2016-03",2,1
"P1019","2016-05",8,1
"P1019","2016-06",77,7
"P1019","2016-07",29,3
"P1019","2016-08",9,5
"P1019","2016-09",14,7
"P102","2013-02",286,46
"P102","2013-03",5488,56
"P102","2013-04",784,49
"P102","2013-05",3042,46
"P102","2013-06",5487,51
"P102","2013-07",135,36
"P102","2013-08",1379,34
"P102","2013-09",59051,41
"P102","2013-10",679,56
"P102","2013-11",442,37
"P102","2013-12",160,51
"P102","2014-01",409,57
"P102","2014-02",827,56
"P102","2014-03",347,50
"P102","2014-04",8666,63
"P102","2014-05",698,74
"P102","2014-06",6486,83
"P102","2014-07",43648,67
"P102","2014-08",9185,66
"P102","2014-09",4451,56
"P102","2014-10",1665,67
"P102","2014-11",300,64
"P102","2014-12",2145,65
"P102","2015-01",15111,82
"P102","2015-02",3999,70
"P102","2015-03",1129,65
"P102","2015-04",1229,69
"P102","2015-05",312,89
"P102","2015-06",732,88
"P102","2015-07",243,89
"P102","2015-08",382,90
"P102","2015-09",439,117
"P102","2015-10",727,120
"P102","2015-11",681,115
"P102","2015-12",3811,88
"P102","2016-01",9249,106
"P102","2016-02",3186,114
"P102","2016-03",749,116
"P102","2016-04",2299,108
"P102","2016-05",1541,115
"P102","2016-06",8594,108
"P102","2016-07",4235,104
"P102","2016-08",2166,128
"P102","2016-09",615,112
"P102","2016-10",16,9
"P1021","2013-11",1,1
"P1021","2015-08",5,2
"P1021","2015-09",1,1
"P1021","2016-01",27,2
"P1021","2016-03",7,1
"P1021","2016-08",1,1
"P1022","2013-11",1,1
"P1023","2013-11",1,1
"P1023","2016-06",34,1
"P1024","2013-11",1,1
"P1024","2014-02",1,1
"P1024","2015-09",1,1
"P1025","2013-11",11,3
"P1025","2013-12",2,2
"P1025","2014-01",5,3
"P1025","2014-02",12,6
"P1025","2014-03",11,7
"P1025","2014-04",3,3
"P1025","2014-05",6,5
"P1025","2014-06",2,2
"P1025","2014-07",2,2
"P1025","2014-08",6,3
"P1025","2014-09",2,2
"P1025","2014-10",3,2
"P1025","2014-11",2,2
"P1025","2014-12",2,2
"P1025","2015-01",6,3
"P1025","2015-02",18,7
"P1025","2015-03",2,2
"P1025","2015-04",4,1
"P1025","2015-05",25,2
"P1025","2015-06",40,5
"P1025","2015-07",13,8
"P1025","2015-08",22,9
"P1025","2015-09",3,3
"P1025","2015-10",8,5
"P1025","2015-11",10,3
"P1025","2015-12",2,1
"P1025","2016-01",9,7
"P1025","2016-02",5,4
"P1025","2016-03",8,7
"P1025","2016-04",4,3
"P1025","2016-05",4,3
"P1025","2016-06",5,5
"P1025","2016-07",5,4
"P1025","2016-08",12,6
"P1025","2016-09",35,5
"P1026","2013-11",5,1
"P1026","2014-03",3,2
"P1026","2014-08",5,2
"P1026","2014-10",2,2
"P1026","2014-11",2,2
"P1026","2014-12",2,2
"P1026","2015-02",2,2
"P1026","2015-03",2,1
"P1026","2015-05",2,1
"P1026","2015-06",2,1
"P1026","2015-07",2,1
"P1026","2015-08",2,1
"P1026","2015-10",2,2
"P1026","2015-11",1,1
"P1026","2015-12",6,2
"P1026","2016-03",2,2
"P1026","2016-04",3,3
"P1026","2016-06",1,1
"P1026","2016-07",1,1
"P1026","2016-09",1,1
"P1027","2013-11",12,4
"P1027","2013-12",34,12
"P1027","2014-01",20,6
"P1027","2014-02",25,8
"P1027","2014-03",40,9
"P1027","2014-04",13,6
"P1027","2014-05",13,7
"P1027","2014-06",31,11
"P1027","2014-07",20,8
"P1027","2014-08",68,13
"P1027","2014-09",33,9
"P1027","2014-10",28,17
"P1027","2014-11",106,13
"P1027","2014-12",133,14
"P1027","2015-01",78,11
"P1027","2015-02",36,12
"P1027","2015-03",20,13
"P1027","2015-04",26,8
"P1027","2015-05",50,11
"P1027","2015-06",75,17
"P1027","2015-07",63,16
"P1027","2015-08",86,23
"P1027","2015-09",55,26
"P1027","2015-10",37,25
"P1027","2015-11",63,21
"P1027","2015-12",36,15
"P1027","2016-01",35,20
"P1027","2016-02",65,15
"P1027","2016-03",104,24
"P1027","2016-04",78,28
"P1027","2016-05",73,18
"P1027","2016-06",42,22
"P1027","2016-07",56,21
"P1027","2016-08",40,22
"P1027","2016-09",60,26
"P1028","2013-12",1,1
"P1028","2014-01",1,1
"P1028","2014-02",1,1
"P1028","2014-04",1,1
"P1028","2014-05",1,1
"P1028","2014-06",2,2
"P1028","2014-07",1,1
"P1028","2014-08",7,2
"P1028","2014-10",8,5
"P1028","2014-11",6,1
"P1028","2014-12",49,3
"P1028","2015-01",27,4
"P1028","2015-02",2,1
"P1028","2015-04",4,4
"P1028","2015-05",2,1
"P1028","2015-06",1,1
"P1028","2015-08",4,4
"P1028","2015-10",3,3
"P1028","2015-11",4,4
"P1028","2015-12",3,2
"P1028","2016-01",2,1
"P1028","2016-02",6,3
"P1028","2016-03",11,2
"P1028","2016-04",260,6
"P1028","2016-05",21,5
"P1028","2016-06",2,2
"P1028","2016-07",26,1
"P1028","2016-08",122,6
"P1028","2016-09",262,4
"P1028","2016-10",1,1
"P1029","2013-11",118,3
"P1029","2013-12",41,2
"P1029","2014-01",29,2
"P1029","2014-02",6,3
"P1029","2014-03",4,2
"P1029","2014-04",294,3
"P1029","2014-07",1,1
"P1029","2014-08",4,3
"P1029","2014-10",3,1
"P1029","2014-11",1,1
"P1029","2014-12",1,1
"P1029","2015-01",8,2
"P1029","2015-02",6,1
"P1029","2015-03",4,2
"P1029","2015-04",1,1
"P1029","2015-05",1,1
"P1029","2015-06",2,1
"P1029","2015-07",4,2
"P1029","2015-08",11,2
"P1029","2015-09",4,4
"P1029","2015-10",2,4
"P1029","2015-11",3,1
"P1029","2016-01",2,2
"P1029","2016-02",11,2
"P1029","2016-03",24,5
"P1029","2016-04",22,2
"P1029","2016-05",1,1
"P1029","2016-07",8,3
"P1029","2016-09",1,1
"P103","2013-02",123,41
"P103","2013-03",291,61
"P103","2013-04",105,26
"P103","2013-05",57,26
"P103","2013-06",38,22
"P103","2013-07",70,12
"P103","2013-08",134,16
"P103","2013-09",13,10
"P103","2013-10",18,8
"P103","2013-11",9,6
"P103","2013-12",16,11
"P103","2014-01",32,21
"P103","2014-02",115,33
"P103","2014-03",70,21
"P103","2014-04",16,13
"P103","2014-05",31,18
"P103","2014-06",79,21
"P103","2014-07",61,27
"P103","2014-08",109,33
"P103","2014-09",1193,33
"P103","2014-10",134,38
"P103","2014-11",99,26
"P103","2014-12",95,24
"P103","2015-01",49,31
"P103","2015-02",43,22
"P103","2015-03",1032,38
"P103","2015-04",161,35
"P103","2015-05",120,31
"P103","2015-06",241,43
"P103","2015-07",174,44
"P103","2015-08",264,57
"P103","2015-09",18284,55
"P103","2015-10",17012,59
"P103","2015-11",10102,68
"P103","2015-12",188,57
"P103","2016-01",234,65
"P103","2016-02",200,72
"P103","2016-03",490,63
"P103","2016-04",120,65
"P103","2016-05",166,72
"P103","2016-06",161,70
"P103","2016-07",242,60
"P103","2016-08",278,85
"P103","2016-09",166,79
"P103","2016-10",5,5
"P1030","2013-11",23,1
"P1030","2013-12",1,2
"P1030","2014-01",1,1
"P1030","2014-02",3,1
"P1030","2014-05",11,1
"P1030","2014-06",9,1
"P1030","2014-08",1,1
"P1030","2014-09",3,1
"P1030","2014-10",1,1
"P1030","2016-03",1,1
"P1030","2016-06",240,2
"P1030","2016-07",93,2
"P1030","2016-08",31,2
"P1030","2016-09",23,4
"P1031","2013-11",42,1
"P1031","2013-12",42,1
"P1031","2014-01",46,1
"P1031","2014-02",9,1
"P1031","2014-03",10,1
"P1031","2014-04",1,1
"P1031","2014-07",2,1
"P1031","2014-08",1,1
"P1031","2014-09",2,2
"P1031","2014-10",3,1
"P1031","2014-12",1,1
"P1031","2015-04",37,1
"P1031","2015-05",1,1
"P1031","2015-06",2,2
"P1031","2015-07",1,1
"P1031","2015-09",5,3
"P1031","2015-10",1,1
"P1031","2016-01",2,1
"P1031","2016-02",30,1
"P1031","2016-03",13,2
"P1031","2016-04",1,1
"P1031","2016-05",2,2
"P1031","2016-06",2,2
"P1031","2016-07",1,1
"P1031","2016-08",6,1
"P1031","2016-09",4,2
"P1032","2015-05",31,2
"P1033","2013-11",1,1
"P1033","2014-01",9,1
"P1033","2014-02",1,1
"P1033","2014-03",1,1
"P1033","2014-04",2,1
"P1033","2015-06",2,1
"P1033","2015-07",1,1
"P1033","2015-09",1,1
"P1033","2015-10",2,1
"P1033","2016-07",2,1
"P1034","2013-11",2,1
"P1034","2014-09",1,2
"P1034","2015-10",1,1
"P1034","2016-06",1,1
"P1034","2016-07",2,1
"P1035","2014-02",1,1
"P1035","2014-03",1,1
"P1035","2014-04",1,1
"P1035","2014-07",1,1
"P1035","2014-11",1,1
"P1035","2014-12",2,2
"P1035","2015-05",1,1
"P1035","2015-07",2,2
"P1035","2015-11",3,3
"P1035","2015-12",1,1
"P1035","2016-01",3,3
"P1035","2016-02",2,2
"P1035","2016-03",5,3
"P1035","2016-04",1,1
"P1035","2016-05",1,1
"P1035","2016-07",4,3
"P1035","2016-08",1,1
"P1036","2013-11",104,4
"P1036","2013-12",9,3
"P1036","2014-02",16,4
"P1036","2014-03",11,6
"P1036","2014-04",237,5
"P1036","2014-05",1662,6
"P1036","2014-06",5318,7
"P1036","2014-07",4572,13
"P1036","2014-08",1627,14
"P1036","2014-09",21,9
"P1036","2014-10",10,8
"P1036","2014-11",18,9
"P1036","2014-12",21,13
"P1036","2015-01",13,8
"P1036","2015-02",42,8
"P1036","2015-03",39,12
"P1036","2015-04",20,22
"P1036","2015-05",50,20
"P1036","2015-06",55,15
"P1036","2015-07",15,7
"P1036","2015-08",83,20
"P1036","2015-09",25,27
"P1036","2015-10",25,18
"P1036","2015-11",29,23
"P1036","2015-12",18,17
"P1036","2016-01",87,19
"P1036","2016-02",39,24
"P1036","2016-03",22,25
"P1036","2016-04",14,11
"P1036","2016-05",22,19
"P1036","2016-06",13,14
"P1036","2016-07",18,17
"P1036","2016-08",76,24
"P1036","2016-09",26,14
"P1037","2013-11",3,3
"P1037","2013-12",2,2
"P1037","2014-01",5,4
"P1037","2014-02",13,8
"P1037","2014-03",153,10
"P1037","2014-04",13,4
"P1037","2014-05",14,6
"P1037","2014-06",16,9
"P1037","2014-07",13,7
"P1037","2014-08",16,9
"P1037","2014-09",8,6
"P1037","2014-10",22,8
"P1037","2014-11",29,8
"P1037","2014-12",24,9
"P1037","2015-01",16,9
"P1037","2015-02",25,7
"P1037","2015-03",17,6
"P1037","2015-04",19,7
"P1037","2015-05",24,13
"P1037","2015-06",39,20
"P1037","2015-07",27,17
"P1037","2015-08",213,19
"P1037","2015-09",25,17
"P1037","2015-10",41,18
"P1037","2015-11",23,16
"P1037","2015-12",26,18
"P1037","2016-01",43,27
"P1037","2016-02",28,22
"P1037","2016-03",32,24
"P1037","2016-04",30,22
"P1037","2016-05",30,20
"P1037","2016-06",42,28
"P1037","2016-07",40,22
"P1037","2016-08",25,21
"P1037","2016-09",68,21
"P1038","2013-11",8,2
"P1038","2013-12",22,4
"P1038","2014-01",37,10
"P1038","2014-02",39,10
"P1038","2014-03",126,11
"P1038","2014-04",44,13
"P1038","2014-05",73,12
"P1038","2014-06",69,15
"P1038","2014-07",64,19
"P1038","2014-08",71,27
"P1038","2014-09",49,23
"P1038","2014-10",36,20
"P1038","2014-11",67,18
"P1038","2014-12",353,21
"P1038","2015-01",84,19
"P1038","2015-02",50,23
"P1038","2015-03",81,21
"P1038","2015-04",99,27
"P1038","2015-05",201,29
"P1038","2015-06",76,29
"P1038","2015-07",73,28
"P1038","2015-08",124,37
"P1038","2015-09",161,38
"P1038","2015-10",166,50
"P1038","2015-11",112,35
"P1038","2015-12",125,41
"P1038","2016-01",276,45
"P1038","2016-02",261,44
"P1038","2016-03",192,58
"P1038","2016-04",265,66
"P1038","2016-05",305,55
"P1038","2016-06",212,50
"P1038","2016-07",199,48
"P1038","2016-08",214,53
"P1038","2016-09",187,58
"P1038","2016-10",16,6
"P1039","2014-02",3,1
"P1039","2014-03",3,2
"P1039","2014-04",2,1
"P1039","2014-07",1,1
"P1039","2014-12",2,2
"P1039","2015-01",1,1
"P1039","2015-02",2,2
"P1039","2015-04",2,1
"P1039","2015-09",1,1
"P1039","2015-10",3,3
"P1039","2015-11",1,1
"P1039","2015-12",3,3
"P1039","2016-01",2,2
"P1039","2016-02",1,1
"P1039","2016-03",14,1
"P1039","2016-04",4,3
"P1039","2016-05",2,2
"P1039","2016-07",2,2
"P1039","2016-09",1,1
"P104","2014-02",1,1
"P1040","2013-11",23,2
"P1040","2013-12",5,3
"P1040","2014-01",1,1
"P1040","2014-02",2,2
"P1040","2014-03",3,1
"P1040","2014-05",9,3
"P1040","2014-06",8,2
"P1040","2014-07",136,43
"P1040","2014-08",200,22
"P1040","2014-09",107,32
"P1040","2014-10",81,28
"P1040","2014-11",45,27
"P1040","2014-12",34,20
"P1040","2015-01",15,9
"P1040","2015-02",8,8
"P1040","2015-03",16,11
"P1040","2015-04",95,34
"P1040","2015-05",224,37
"P1040","2015-06",17,11
"P1040","2015-07",62,25
"P1040","2015-08",78,20
"P1040","2015-09",86,23
"P1040","2015-10",536,27
"P1040","2015-11",2163,22
"P1040","2015-12",3707,22
"P1040","2016-01",2807,35
"P1040","2016-02",1266,42
"P1040","2016-03",258,32
"P1040","2016-04",934,36
"P1040","2016-05",197,27
"P1040","2016-06",329,18
"P1040","2016-07",1321,24
"P1040","2016-08",153,20
"P1040","2016-09",685,23
"P1040","2016-10",1,1
"P1041","2013-11",3,2
"P1041","2014-01",1,1
"P1041","2014-07",1,1
"P1041","2016-05",1,1
"P1042","2013-11",10,1
"P1042","2013-12",10,4
"P1042","2014-01",5,4
"P1042","2014-02",591,3
"P1042","2014-03",3,2
"P1042","2014-04",1,1
"P1042","2014-05",1,1
"P1042","2014-07",7,1
"P1042","2014-08",10,3
"P1042","2014-09",3,1
"P1042","2014-10",6,4
"P1042","2014-11",4,3
"P1042","2014-12",1,1
"P1042","2015-01",2,1
"P1042","2015-02",2,2
"P1042","2015-04",5,2
"P1042","2015-05",1,1
"P1042","2015-06",8,3
"P1042","2015-07",8,4
"P1042","2015-08",1,1
"P1042","2015-09",2,2
"P1042","2015-10",5,2
"P1042","2015-11",4,2
"P1042","2015-12",190,3
"P1042","2016-01",3,3
"P1042","2016-02",1,1
"P1042","2016-03",3,3
"P1042","2016-04",171,2
"P1042","2016-06",30,5
"P1042","2016-08",67,3
"P1042","2016-09",23,5
"P1043","2013-11",6,2
"P1043","2013-12",1,1
"P1043","2014-03",3,1
"P1043","2014-06",1,1
"P1043","2014-09",1,1
"P1043","2015-03",1,1
"P1044","2013-11",11,1
"P1044","2013-12",21,4
"P1044","2014-01",8,4
"P1044","2014-02",32,2
"P1044","2014-03",17,4
"P1044","2014-04",9,2
"P1044","2014-05",1,1
"P1044","2014-07",4,1
"P1044","2014-08",11,6
"P1044","2014-09",1,1
"P1044","2014-10",1,1
